portal,question_text,option_a,option_b,option_c,option_d,correct_option,topic_tag,is_active,sort_order
oow,Righting moment at a given heel angle equals:,Displacement x GZ,KM - KG,TPC x draught,MCTC x trim,A,stability,1,13
oow,A stiff ship is likely to have:,A quick short roll and relatively large GM,A long slow roll and small GM,No positive stability,A permanent angle of loll,A,stability,1,14
oow,Which statement is correct?,List is due to off-centre weight; loll is linked with very small or negative GM,List and loll mean the same,Loll is caused only by wind,List occurs only in dry dock,A,stability,1,15
oow,Free surface in a slack tank will normally:,Increase effective GM,Reduce effective GM,Increase displacement only,Have no effect at sea,B,stability,1,16
oow,"If a weight is shifted to starboard, the vessel will usually:",List to port,List to starboard,Trim by the stern,Rise bodily,B,stability,1,17
oow,The angle of vanishing stability is the angle at which:,Deck edge immerses,Maximum GZ occurs,The righting lever becomes zero,The rudder stalls,C,stability,1,18
oow,A trimming moment is found from:,Weight x distance moved longitudinally,Displacement x GM,TPC x density,Draught x beam,A,trim,1,19
oow,Loading a weight well forward of the LCF will tend to:,Trim the ship by the head,Trim the ship by the stern,Cause list to port,Leave trim unchanged,A,trim,1,20
oow,MCTC is the moment required to:,Change trim by 1 cm,Change mean draught by 1 cm,Heel the ship by 1 degree,Change GZ by 1 cm,A,trim,1,21
oow,"If draughts are F 7.8 m and A 8.4 m, the mean draught is:",7.9 m,8.0 m,8.1 m,8.2 m,C,hydrostatics,1,22
oow,A ship on even keel has:,Zero list only,Equal draught forward and aft,Maximum GM,No trim correction needed ever,B,trim,1,23
oow,Lifting a heavy load by ship's gear will usually:,Lower KG,Raise the effective KG and reduce GM,Improve trim only,Have no effect until landed ashore,B,cargo-operations,1,24
oow,"For radar fixing, the best targets are generally:",Fast moving targets,Prominent charted objects with clear definition,Drifting buoys,Any return near the bow,B,radar,1,25
oow,Compass error obtained by azimuth is the angle between:,Compass north and true north,Ship's head and wake,Magnetic north and grid north only,Rudder angle and course steered,A,compass,1,26
oow,"In restricted visibility, safe navigation is best supported by:",Relying entirely on AIS,"Proper lookout, systematic radar use, and safe speed",Maintaining full sea speed if on schedule,Silencing all bridge alarms,B,watchkeeping,1,27
oow,The publication used to promulgate chart corrections is:,Crew agreement,Notices to Mariners,Oil record book,Cargo manifest,B,publications,1,28
oow,The rule of twelfths provides:,An exact tidal height solution,A simple approximation for semidiurnal tidal height change,A method for calculating deviation,A current atlas correction only,B,tides,1,29
oow,Parallel indexing is mainly used to:,Measure wind speed,Monitor track relative to a planned line or hazard,Find gyro error,Replace visual lookout,B,radar,1,30
oow,An overtaking vessel must keep clear until:,The vessels are abeam,The stand-on vessel alters course,She is finally past and clear,VHF contact is established,C,colregs,1,31
oow,Gyro error at high latitude is often affected by:,Latitude and speed error,Tide height,Water density,Air temperature only,A,compass,1,32
oow,A passage plan should be amended when:,The chart table is crowded,New information or conditions make revision necessary,The helmsman changes,The galley requests an ETA,B,passage-planning,1,33
oow,"Before coastal pilotage, the bridge team should focus on:",Reducing all records,"Master-pilot exchange, expected tracks, and no-go areas",Switching off alarms,Opening all bridge windows,B,pilotage,1,34
oow,"To reduce free surface effect, the best general action is to:",Create more slack tanks,Press up or empty slack tanks where possible,Increase speed,Transfer weight higher,B,stability,1,35
oow,A vessel required to proceed at safe speed must consider:,Only engine power available,"Visibility, traffic density, manoeuvrability, and background light",Only the schedule,Only wind direction,B,colregs,1,36
oow,A danger bearing is primarily used to:,Measure speed over ground,Warn that a vessel is standing into danger if a bearing is reached,Check compass deviation on all headings,Calculate tidal stream rate,B,pilotage,1,37
oow,"When taking a three-point bearing fix, the greatest risk is:",Too many chart corrections,Time delay causing running-fix error if the ship is moving fast,Excessive lead line error,Underestimating air draught,B,chartwork,1,38
oow,A clearing bearing is intended to:,Keep the vessel clear of a charted danger,Measure gyro repeaters,Estimate squat,Calculate sunrise time,A,pilotage,1,39
oow,"When converting relative radar motion to true motion mentally, the OOW must remember that relative vectors show:",Target motion over the ground only,Motion of targets relative to own ship's motion,True wind direction,Only CPA values,B,radar-arpa,1,40
oow,A decreasing barometer with strengthening wind most commonly suggests:,Improving weather,An approaching low-pressure system,No significant change,Reduced tidal range,B,meteorology,1,41
oow,The main purpose of a no-go area in passage planning is to:,Mark preferred fishing grounds,Define water or positions the vessel must not enter,Record pilot ladder height,Show bunkering zones,B,passage-planning,1,42
oow,The standard sound signal for a power-driven vessel making way in fog is:,One prolonged blast every 2 minutes,Two short blasts every minute,One short blast every 2 minutes,Three prolonged blasts every 2 minutes,A,colregs,1,43
oow,A vessel not under command shall exhibit by day:,One black ball,Two black balls in a vertical line,Three black shapes in a line,A black cone apex upward,B,colregs,1,44
oow,"When using ECDIS route monitoring, a key reason to retain paperless vigilance is that:",ECDIS removes the need for lookout,Alarm settings and displayed layers may not by themselves ensure safe navigation,Courses cannot be altered on ECDIS,GPS cannot feed ECDIS,B,ecdis,1,45
oow,"If the echo sounder suddenly reads much less water than expected in a narrow channel, the OOW should first:",Assume instrument failure and ignore it,"Reduce risk by checking position, speed, and under-keel situation immediately",Switch off the sounder,Call the cook,B,under-keel-clearance,1,46
oow,A wheel-over position is planned to:,Show where the anchor should be let go,Indicate where the turn should be started to achieve the next track,Mark the pilot boarding ground,Find magnetic variation,B,passage-planning,1,47
oow,The principal benefit of a bridge team briefing before departure is to:,Reduce paperwork permanently,"Create shared understanding of the plan, hazards, and responsibilities",Avoid using checklists,Allow the OOW to leave early,B,bridge-resource-management,1,48
oow,"If the observed compass bearing is east of the true bearing, the compass error is:",Easterly,Westerly,Zero,Unrelated to deviation,B,compass,1,49
oow,A vessel in the vicinity of a narrow channel should:,Anchor in the channel if convenient,Keep as near to the outer limit on her starboard side as is safe and practicable,Use any side with less traffic,Cross repeatedly to avoid shoals,B,colregs,1,50
oow,The best estimate of tidal stream set and drift during a coastal passage is obtained from:,Crew opinion only,Tidal stream atlas or current predictions combined with observed fixes,Load line marks,Propeller rpm alone,B,tides,1,51
oow,Leeway is the movement of a vessel caused mainly by:,Tidal stream,Wind acting on the vessel,Variation error,Propeller race only,B,navigation,1,52
oow,A running fix is most useful when:,Only one object can be observed at different times,Three simultaneous bearings are available,Radar is unavailable in all respects,The vessel is at anchor,A,chartwork,1,53
oow,"When taking over a navigational watch, the relieving officer should first satisfy himself about:",The cook's report,"The ship's position, course, speed, and prevailing circumstances",Only the engine rpm,Only the next meal time,B,watchkeeping,1,54
oow,"If CPA on ARPA is reducing to an unsafe value, the OOW should:",Wait until visual range is zero,Take early and substantial action in accordance with COLREGS,Alter 5 degrees repeatedly without plotting,Ignore ARPA until the master arrives,B,radar-arpa,1,55
oow,Which factor increases squat?,Deeper water and lower speed,Shallow water and higher speed,Fine weather only,Reduced displacement only,B,shallow-water,1,56
oow,"In heavy weather, a key reason for securing watertight openings is to:",Improve radio range,Reduce risk of downflooding and loss of reserve buoyancy,Lower fuel consumption,Increase freeboard marks,B,operations,1,57
oow,The purpose of an under-keel clearance policy is to:,Replace passage planning,Ensure a defined minimum margin beneath the keel for safety,Fix all squat errors automatically,Avoid use of tide tables,B,under-keel-clearance,1,58
oow,A broad reach under sail for a sailing vessel means the wind is:,Ahead of the beam,Abaft the beam,Directly astern only,On the bow only,B,colregs,1,59
oow,"For cargo securing, the primary objective is to:",Improve appearance of the deck,Prevent cargo movement under expected accelerations,Reduce customs inspections,Increase trim by the stern,B,cargo-operations,1,60
oow,"If the vessel is unexpectedly early at a tidal gate, the preferred action is usually to:",Force passage regardless of conditions,Adjust speed safely or wait in a suitable area according to the plan,Ignore the gate time,Alter for the nearest beach,B,passage-planning,1,61
oow,A cardinal mark with two cones pointing up indicates:,South cardinal,East cardinal,North cardinal,West cardinal,C,aids-to-navigation,1,62
oow,The range of a light shown on a chart is principally:,The nominal range under defined meteorological visibility,The guaranteed radar range,The distance in cables at spring tide,The arc of visibility in degrees,A,aids-to-navigation,1,63
oow,A magnetic compass deviation card records:,Tidal stream rates by heading,Compass deviation on different headings,Only variation values,Gyro repeater errors only,B,compass,1,64
oow,"When plotting on Mercator charts, a rhumb line is:",The shortest distance between two points,A line cutting all meridians at the same angle,A great circle on the equator only,A contour of equal depth,B,chartwork,1,65
oow,The purpose of a secondary port tidal difference is to:,Replace all standard port predictions,Adjust standard port times and heights to estimate local tide,Show only current direction,Find moon phase,B,tides,1,66
oow,A vessel constrained by her draught is one which:,Cannot deviate because of traffic only,Because of draught in relation to available depth and width is severely restricted in departing from her course,Has lost steering,Is at anchor in deep water,B,colregs,1,67
oow,"In a turn, advance is the distance measured:",Perpendicular to the original course,Along the original course from wheel-over to the point abeam of the new course,Across the beam from midships,From rudder to propeller,B,manoeuvring,1,68
oow,A Williamson turn is commonly used to:,Enter dry dock,Recover a person overboard when immediate return to the reciprocal track is needed,Calculate squat,Swing ship for compass adjustment,B,emergency,1,69
oow,A vessel exhibiting red over white lights at night is:,Engaged in fishing other than trawling,Not under command,Constrained by draught,At anchor less than 50 m,A,colregs,1,70
oow,"When checking gyro and magnetic headings together, the purpose is mainly to:",Find tidal stream set,Monitor compass performance and heading reference consistency,Measure squat,Determine under-keel clearance,B,compass,1,71
oow,The best immediate action after a man overboard alarm is to:,Delete the GPS track,"Mark position, post lookouts, commence recovery manoeuvre, and inform the master",Stop all navigation lights,Secure the anchor,B,emergency,1,72
oow,"If charted depth is 8.0 m, height of tide is 2.2 m, and squat is estimated at 0.4 m, available water depth is:",9.8 m,10.2 m,10.6 m,6.2 m,A,under-keel-clearance,1,73
oow,A vessel's ETA should normally be updated using:,Original brochure speed only,Current observed progress and revised passage information,The pilot's preference alone,Only engine telegraph orders,B,eta-speed-distance,1,74
oow,Which action best reduces the risk of fatigue-related errors on watch?,Skipping handovers,Following rest hour requirements and maintaining effective watch routines,Reducing bridge lighting to minimum always,Using only the autopilot,B,watchkeeping,1,75
oow,The bow thruster is most effective when:,The vessel has high headway,The vessel has little or no headway,The ship is in deep ocean passage,The rudder is amidships only,B,manoeuvring,1,76
oow,"When a vessel takes a heavy list due to cargo shift, the first concern is:",Fresh water allowance,Overall stability and risk of further shift,Nominal light range,Gyro latitude error,B,cargo-operations,1,77
oow,"In a bridge equipment failure, the OOW should first:",Ignore it until landfall,"Assess the impact on navigation, apply contingencies, and inform the master as required",Delete the passage plan,Switch off all repeaters,B,bridge-resource-management,1,78
oow,A transit is particularly useful for:,Estimating cloud height,Checking that the vessel remains on a defined line,Measuring sea temperature,Finding cargo density,B,pilotage,1,79
oow,Which is the best definition of variation?,Error of the gyro due to latitude,Angle between true north and magnetic north,Angle between compass north and ship's head,Difference between COG and SOG,B,compass,1,80
oow,"If a ship's stern swings to port when going ahead from rest with a right-handed propeller, this is commonly due to:",Leeway only,Transverse thrust effect,Free surface effect,Variation,B,manoeuvring,1,81
oow,When is a vessel aground considered stranded for stability purposes?,Whenever touching soft mud lightly,When supported by the ground so that normal buoyancy is reduced,Only when fully high and dry,Only after class survey,B,stability,1,82
oow,A radar blind sector is dangerous because it:,Increases nominal light range,Prevents target detection in part of the horizon,Changes chart datum,Reduces GM,B,radar,1,83
oow,The purpose of a course alteration being substantial under COLREGS is to:,Reduce helm orders,Be readily apparent to another vessel,Save fuel,Avoid all use of sound signals,B,colregs,1,84
oow,"On ECDIS, a safety contour is selected mainly to:",Show air draught limits,Highlight depths critical to safe navigation,Replace the need for tidal calculations,Display only harbour plans,B,ecdis,1,85
oow,A vessel's reserve buoyancy is the volume of:,Fuel oil remaining,The watertight hull above the waterline that can contribute to flotation,Water in double bottoms,Slack tank capacity,B,stability,1,86
oow,"If heavy weather is expected on the beam, a prudent preparation is to:",Leave all vents open,"Check lashings, secure loose gear, and review speed/course options",Drain all ballast tanks completely,Switch off weather fax,B,operations,1,87
oow,The term under way means that a vessel is:,Making way through the water only,"Not at anchor, made fast, or aground",Proceeding at more than 5 knots,Outside territorial waters,B,colregs,1,88
oow,A fix obtained from GNSS should still be cross-checked because:,Satellite navigation is never used at sea,Single-source errors can occur and bridge practice requires independent monitoring,Charts are obsolete,Gyrocompasses cannot be trusted,B,navigation,1,89
oow,A cargo plan should clearly show:,Only total tonnage,"Distribution of cargo, special requirements, and loading sequence as relevant",Only bunker quantities,Crew cabin allocations,B,cargo-operations,1,90
oow,The length of a degree of latitude is approximately:,60 nautical miles,69 nautical miles,100 nautical miles,1 nautical mile,A,chartwork,1,91
oow,"If a vessel is meeting another head-on, each should normally:",Alter to port,Alter to starboard so as to pass port to port,Maintain course until collision is certain,Stop engines immediately,B,colregs,1,92
oow,"In tidal calculations, chart datum is generally:",The level of highest astronomical tide,A reference level to which charted depths are reduced,Mean sea level worldwide,The level of spring high water,B,tides,1,93
oow,Which bridge document records key details of the intended route?,Garbage record book,Passage plan,Articles of agreement,Compass deviation card,B,passage-planning,1,94
oow,The primary effect of shifting a weight vertically upward is to:,Increase GM,Raise KG and reduce GM,Increase TPC,Reduce displacement,B,stability,1,95
oow,A vessel approaching a pilot station should prepare by:,Turning off deck lights,Rigging the pilot ladder correctly and reviewing the boarding arrangement,Stopping all communications,Sounding the general alarm,B,pilotage,1,96
oow,"At night, a vessel at anchor less than 50 m shall show:",A white all-round light or one ball by day,Red and green sidelights only,Two masthead lights,A red all-round light,A,colregs,1,97
oow,"When using leading lights, the vessel is on the recommended line when:",The rear light is open to one side,The lights are in line vertically,Only the lower light is visible,The range is decreasing,B,pilotage,1,98
oow,The main value of echo sounder trend monitoring is that it:,Shows magnetic variation,Gives warning of unexpected shoaling or departure from planned water depths,Calculates CPA,Measures air draught,B,under-keel-clearance,1,99
oow,"If CPA is acceptable but TCPA is very short in dense traffic, the OOW should:",Ignore the contact,Continue close monitoring and ensure passing remains safe and understandable,Turn off ARPA alarms,Assume the target will alter away,B,radar-arpa,1,100
oow,A vessel making sternway through the water is still:,Not under way,Under way,At anchor,Constrained by draught,B,colregs,1,101
oow,The key purpose of a pre-arrival checklist is to:,Replace all standing orders,"Confirm the ship, bridge team, and equipment are ready for the next phase",Record lunch orders,Avoid pilotage,B,bridge-resource-management,1,102
oow,Mean draught is used in hydrostatic calculations because it:,Approximates the ship's average immersion,Eliminates all trim effects automatically,Is the same as aft draught,Is unaffected by density,A,hydrostatics,1,103
oow,A vessel with negative initial GM is liable to:,Return upright immediately,Loll until a position of equilibrium is reached,Increase freeboard evenly,Develop zero trim only,B,stability,1,104
oow,The lee side when at anchor is the side:,Facing the wind,Sheltered from wind and sea,Nearest the bow,Nearest the propeller,B,anchoring,1,105
oow,"When paying out cable to walk back the anchor, the aim is to:",Increase free surface,Control the anchor descent and reduce shock load,Improve gyro settling time,Shorten the vessel length,B,anchoring,1,106
oow,A spring tide occurs when:,Sun and moon act at right angles,"Sun and moon are aligned, giving greater range",Only at the spring season,The wind is strong offshore,B,tides,1,107
oow,The distance from the centre of flotation to the centre of gravity affects:,Trimming moment due to added or shifted weight,Variation only,Light characteristic,Nominal range,A,trim,1,108
oow,"In cargo watches, one important responsibility is to:",Ignore moorings,"Monitor moorings, draughts, and cargo operation safety",Leave the deck unattended,Stop all communications with shore,B,cargo-operations,1,109
oow,The purpose of an abort point in a pilotage plan is to:,Show where the chart ends,Define where the vessel must stop the approach if conditions are not satisfactory,Mark the point to test whistle,Record fresh water allowance,B,pilotage,1,110
oow,A sextant index error should be:,Ignored at sea,Applied with correct sign to observations,Added randomly to reduce bias,Used only in pilotage,B,astronavigation,1,111
oow,"If the ship enters colder, denser water at constant displacement, the draught will generally:",Increase,Decrease,Remain unchanged always,Change trim only,B,hydrostatics,1,112
oow,A vessel showing ball-diamond-ball by day is:,At anchor,Restricted in her ability to manoeuvre,Not under command,Towing astern over 200 m,B,colregs,1,113
oow,The key value of ARPA trial manoeuvre is that it:,Changes target course automatically,Allows the OOW to assess the likely effect of a proposed alteration,Replaces COLREGS,Finds tidal heights,B,radar-arpa,1,114
oow,The main risk of excessive stern trim in shallow water is:,Higher nominal light range,Reduced under-keel clearance aft and possible poor handling,Reduced cargo shift,Lower squat,B,trim,1,115
oow,"When a vessel is moored in a tidal port during cargo work, the OOW should regularly check:",Mooring tensions and ship's position alongside,Only galley stores,Only VHF battery charge,Compass deviation only,A,cargo-operations,1,116
oow,The best reason for using wheel-over positions rather than turning exactly at a waypoint is to:,Save chart space,Allow for the ship's turning characteristics and track control,Reduce bridge manning,Avoid using the rudder,B,passage-planning,1,117
oow,"If fog is encountered unexpectedly, the OOW should usually begin by:",Increasing speed to clear it,"Reducing to safe speed, sounding signals as required, and increasing lookout and radar use",Turning off navigation lights,Stopping all plotting,B,colregs,1,118
oow,The main purpose of weather routeing information on a passage is to:,Replace the master's judgement,Support safe and efficient planning in expected weather conditions,Determine cargo density,Find compass error,B,meteorology,1,119
oow,A vessel's statical stability curve shows the relationship between:,GZ and angle of heel,Speed and rpm,Draught and freeboard marks only,Air draught and trim,A,stability,1,120
oow,"When correcting a course from magnetic to true, variation is:",Always subtracted easterly,Applied according to east-west sign convention,Ignored if deviation exists,Used only with gyro headings,B,compass,1,121
oow,A parallel body increase in draught due to loading is estimated mainly from:,MCTC,TPC,GZ curve,Deviation card,B,hydrostatics,1,122
oow,A target on the starboard bow with constant bearing and decreasing range indicates:,No risk in all cases,Risk of collision may exist,The target is overtaking,The target is anchored,B,colregs,1,123
oow,The purpose of a turn circle test is to determine:,Fresh water allowance,The vessel's manoeuvring characteristics,Cargo securing force,Magnetic variation,B,manoeuvring,1,124
oow,"If a compartment floods low down on one side, the ship will typically:",Gain GM only,List and suffer loss of stability due to free surface if water can move,Rise in the water,Lose displacement,B,damage-control,1,125
oow,A practical cross-check on GNSS position during pilotage is:,Ignore visual marks,"Use visual bearings, radar ranges, or transits where available",Rely on engine rpm,Use only AIS,B,pilotage,1,126
oow,The main purpose of keeping a proper lookout is to:,Satisfy port regulations only,"Make a full appraisal of the situation and risk of collision, grounding, and other dangers",Avoid paperwork,Monitor only one target,B,watchkeeping,1,127
oow,"If the observed under-keel margin is reducing below plan, the OOW should:",Continue unchanged,"Take timely action such as reducing speed, revising track, or seeking assistance as appropriate",Switch off the echo sounder,Wait for the next watch,B,under-keel-clearance,1,128
oow,The critical period after letting go the anchor is used to:,Calculate load line,Confirm the anchor is holding and the vessel remains in a safe position,Shut down all bridge systems,Measure variation,B,anchoring,1,129
oow,The beam of a ship is its:,Depth moulded,Greatest breadth,Length between perpendiculars,Air draught,B,ship-construction,1,130
oow,"If a ship has a list caused by off-centre weight, the most direct correction is to:",Wait for loll to develop,Shift weight or ballast to restore equilibrium,Increase service speed,Pump out all double bottoms,B,stability,1,131
oow,A wheelhouse poster showing emergency steering changeover is useful because it:,Reduces pilotage duties,Helps the bridge team transfer steering quickly in failure conditions,Replaces drills,Shows tidal streams,B,emergency,1,132
oow,"When entering a TSS lane, a vessel should do so:",At as small an angle as practicable in the general direction of traffic flow,At right angles to the lane centreline,Only by crossing the separation zone first,After sounding three short blasts,A,colregs,1,133
oow,The purpose of contour spacing on a chart is to indicate:,Traffic density,The slope of the seabed,Compass error,Weather fronts,B,chartwork,1,134
oow,A vessel may need to call the master under standing orders when:,Coffee is ready,"Traffic, visibility, or navigational circumstances cause doubt or concern",The logbook is full,The watch changes,B,watchkeeping,1,135
oow,The point about which a ship trims for small changes of trim is the:,Centre of buoyancy,Longitudinal centre of flotation,Metacentre,Centre of gravity,B,trim,1,136
oow,A radar conspicuous object is valuable because it:,Improves daylight visibility only,Provides a stronger and more identifiable radar return,Changes tidal height,Reduces squat,B,radar,1,137
oow,The main hazard of a following sea in heavy weather is that it can:,Reduce roll always,"Increase risk of surfing, broaching, or heavy stern impacts",Eliminate yaw,Improve stopping distance,B,meteorology,1,138
oow,A vessel making no way but drifting with current is:,At anchor,Under way,Not under command automatically,Aground,B,colregs,1,139
oow,The first correction when using a harbour chart after receiving updates is to ensure:,Only colours match,All relevant Notices to Mariners and temporary information are applied,The chart is laminated,The title is underlined,B,publications,1,140
oow,The principal reason for a UKC allowance for squat is that squat:,Occurs only in deep water,Can significantly reduce clearance in shallow or confined water at speed,Improves manoeuvrability,Is the same as list,B,under-keel-clearance,1,141
oow,The weather side of a ship at anchor is the side:,Sheltered from wind,Exposed to wind and sea,Nearest the galley,Opposite the bow,B,anchoring,1,142
oow,A trim by the stern means:,Aft draught exceeds forward draught,Forward draught exceeds aft draught,List is to starboard,The vessel is on even keel,A,trim,1,143
oow,The purpose of a loading computer is primarily to:,Replace seamanship,"Assist in checking stability, strength, and loading condition compliance",Transmit AIS,Calculate visibility sectors,B,cargo-operations,1,144
oow,"When two bearings are nearly parallel, the resulting fix will usually be:",Well conditioned and accurate,Poorly conditioned and less reliable,Equivalent to a transit,Unaffected by angle choice,B,chartwork,1,145
oow,A vessel hearing one prolonged and two short blasts in fog should recognise this may be:,A power-driven vessel making way,"A vessel not under command or restricted in ability to manoeuvre, or similar prescribed category",A pilot vessel on pilotage duty only,A vessel aground only,B,colregs,1,146
oow,The main purpose of tank soundings during a voyage is to monitor:,Bridge visibility only,Quantities and possible unintended changes such as leakage or transfer error,Gyro settling,Mooring lead,B,operations,1,147
oow,An increase in GM generally makes the roll period:,Longer,Shorter,Unchanged always,Infinite,B,stability,1,148
oow,"If the OOW is uncertain whether risk of collision exists, he should assume:",No risk exists,Risk exists,Only small craft count,Radar is wrong,B,colregs,1,149
oow,The charted abbreviation Wk indicates:,Weak tide,Wreck,Workboat station,Winter keel,B,chartwork,1,150
